2026-06-05T18:34:26.709489627Z {"level":30,"time":1780684466708,"pid":52,"hostname":"srv-d7j4rvu7r5hc73chknh0-hibernate-6d77b7964b-nb2bs","req":{"id":765,"method":"GET","url":"/api/admin/messages/unread-count"},"res":{"statusCode":200},"responseTime":7,"msg":"request completed"}
2026-06-05T18:34:31.76511059Z {"level":30,"time":1780684471764,"pid":52,"hostname":"srv-d7j4rvu7r5hc73chknh0-hibernate-6d77b7964b-nb2bs","req":{"id":766,"method":"GET","url":"/api/admin/messages/unread-count"},"res":{"statusCode":200},"responseTime":5,"msg":"request completed"}
2026-06-05T18:34:33.967660281Z {"level":30,"time":1780684473965,"pid":52,"hostname":"srv-d7j4rvu7r5hc73chknh0-hibernate-6d77b7964b-nb2bs","req":{"id":767,"method":"GET","url":"/api/admin/messages/unread-count"},"res":{"statusCode":200},"responseTime":7,"msg":"request completed"}
2026-06-05T18:34:59.963455801Z {"level":30,"time":1780684499963,"pid":52,"hostname":"srv-d7j4rvu7r5hc73chknh0-hibernate-6d77b7964b-nb2bs","req":{"id":768,"method":"GET","url":"/api/admin/messages/unread-count"},"res":{"statusCode":200},"responseTime":7,"msg":"request completed"}
2026-06-05T18:35:32.988536226Z {"level":30,"time":1780684532988,"pid":52,"hostname":"srv-d7j4rvu7r5hc73chknh0-hibernate-6d77b7964b-nb2bs","req":{"id":769,"method":"GET","url":"/api/admin/messages/unread-count"},"res":{"statusCode":200},"responseTime":7,"msg":"request completed"}
2026-06-05T18:36:06.116490724Z {"level":30,"time":1780684566115,"pid":52,"hostname":"srv-d7j4rvu7r5hc73chknh0-hibernate-6d77b7964b-nb2bs","req":{"id":770,"method":"GET","url":"/api/admin/messages/unread-count"},"res":{"statusCode":200},"responseTime":6,"msg":"request completed"}
2026-06-05T18:36:39.345064072Z {"level":30,"time":1780684599344,"pid":52,"hostname":"srv-d7j4rvu7r5hc73chknh0-hibernate-6d77b7964b-nb2bs","req":{"id":771,"method":"GET","url":"/api/admin/messages/unread-count"},"res":{"statusCode":200},"responseTime":41,"msg":"request completed"}
2026-06-05T18:37:12.298015862Z {"level":30,"time":1780684632297,"pid":52,"hostname":"srv-d7j4rvu7r5hc73chknh0-hibernate-6d77b7964b-nb2bs","req":{"id":772,"method":"GET","url":"/api/admin/messages/unread-count"},"res":{"statusCode":200},"responseTime":6,"msg":"request completed"}
2026-06-05T18:37:22.62032928Z {"level":30,"time":1780684642619,"pid":52,"hostname":"srv-d7j4rvu7r5hc73chknh0-hibernate-6d77b7964b-nb2bs","req":{"id":773,"method":"GET","url":"/api/auth/me"},"res":{"statusCode":200},"responseTime":19,"msg":"request completed"}
2026-06-05T18:37:23.260088643Z {"level":30,"time":1780684643259,"pid":52,"hostname":"srv-d7j4rvu7r5hc73chknh0-hibernate-6d77b7964b-nb2bs","req":{"id":774,"method":"GET","url":"/api/dashboard/stats"},"res":{"statusCode":200},"responseTime":38,"msg":"request completed"}
2026-06-05T18:37:45.458376906Z {"level":30,"time":1780684665458,"pid":52,"hostname":"srv-d7j4rvu7r5hc73chknh0-hibernate-6d77b7964b-nb2bs","req":{"id":775,"method":"GET","url":"/api/admin/messages/unread-count"},"res":{"statusCode":200},"responseTime":8,"msg":"request completed"}
2026-06-05T18:37:53.613647386Z {"level":30,"time":1780684673613,"pid":52,"hostname":"srv-d7j4rvu7r5hc73chknh0-hibernate-6d77b7964b-nb2bs","req":{"id":776,"method":"GET","url":"/api/dashboard/stats"},"res":{"statusCode":200},"responseTime":36,"msg":"request completed"}
2026-06-05T18:38:18.552718463Z {"level":30,"time":1780684698552,"pid":52,"hostname":"srv-d7j4rvu7r5hc73chknh0-hibernate-6d77b7964b-nb2bs","req":{"id":777,"method":"GET","url":"/api/admin/messages/unread-count"},"res":{"statusCode":200},"responseTime":8,"msg":"request completed"}
